iter	RMSE
0	3855.615459
1	3241.411883
2	2814.133529
3	2516.248422
4	2310.894502
5	2153.277046
6	2045.883638
7	1972.764633
8	1923.829148
9	1885.21124
10	1858.755042
11	1836.480975
12	1816.720303
13	1797.652765
14	1784.503317
15	1773.832033
16	1761.404345
17	1754.902336
18	1747.643382
19	1740.746379
20	1734.081707
21	1728.554516
22	1719.107977
23	1714.016519
24	1708.044727
25	1700.6725
26	1696.657146
27	1692.786438
28	1686.852535
29	1682.972566
30	1678.542364
31	1675.179644
32	1671.29757
33	1668.049326
34	1663.89644
35	1660.536314
36	1656.96766
37	1653.037419
38	1648.944776
39	1644.883289
40	1641.652474
41	1637.804284
42	1633.880694
43	1631.017069
44	1628.707908
45	1625.848936
46	1622.305325
47	1620.006569
48	1617.114077
49	1614.519459
50	1612.119999
51	1609.709014
52	1607.581531
53	1605.170709
54	1602.619012
55	1600.688914
56	1598.250391
57	1595.973007
58	1593.151218
59	1590.654785
60	1588.35022
61	1586.69461
62	1585.054282
63	1582.684853
64	1580.644686
65	1578.117789
66	1576.394094
67	1574.56808
68	1571.997395
69	1570.165884
70	1568.564741
71	1567.036181
72	1565.401371
73	1562.059192
74	1560.204828
75	1558.76535
76	1557.169019
77	1555.53965
78	1553.404468
79	1551.307052
80	1549.078973
81	1547.239644
82	1546.19353
83	1544.203997
84	1543.137062
85	1541.592773
86	1540.160506
87	1538.923771
88	1536.559763
89	1534.367882
90	1532.65378
91	1530.929384
92	1529.866459
93	1527.674111
94	1525.969164
95	1524.300674
96	1523.253276
97	1521.701766
98	1520.86954
99	1519.774662
100	1518.186038
101	1516.487089
102	1515.12202
103	1513.82548
104	1511.547332
105	1510.209978
106	1508.815532
107	1507.193871
108	1505.496671
109	1504.51229
110	1502.90323
111	1501.324559
112	1500.102811
113	1498.707346
114	1497.242456
115	1495.897063
116	1494.339048
117	1493.22918
118	1491.844843
119	1491.005875
120	1490.070644
121	1488.475031
122	1487.403953
123	1486.059766
124	1484.847844
125	1483.338358
126	1482.258074
127	1480.740815
128	1479.503421
129	1478.818622
130	1477.791448
131	1476.814788
132	1475.57832
133	1474.471414
134	1473.650024
135	1472.468726
136	1471.483271
137	1470.675483
138	1468.911037
139	1468.013107
140	1467.100504
141	1465.97496
142	1464.925455
143	1463.864075
144	1462.453712
145	1461.4193
146	1460.462031
147	1459.426984
148	1458.568083
149	1457.622731
150	1456.885107
151	1456.303754
152	1455.434924
153	1454.854226
154	1453.830196
155	1452.894072
156	1452.139552
157	1450.868169
158	1450.103442
159	1449.318449
160	1448.312196
161	1447.705914
162	1446.766809
163	1445.964378
164	1445.016916
165	1443.989498
166	1443.434498
167	1442.499896
168	1441.439032
169	1440.570866
170	1439.805385
171	1439.249347
172	1438.171964
173	1437.427054
174	1436.532591
175	1435.570502
176	1434.448144
177	1433.538221
178	1432.242568
179	1431.392124
180	1430.69653
181	1430.244068
182	1429.143888
183	1428.452369
184	1427.67945
185	1426.862646
186	1426.389347
187	1425.57151
188	1424.642867
189	1423.977299
190	1422.884302
191	1422.322174
192	1421.238269
193	1420.225673
194	1419.327238
195	1418.609752
196	1417.773084
197	1417.116268
198	1416.455481
199	1415.162942

1411.623902
