iter	Passed	Remaining
0	21	1059
1	30	720
2	38	600
3	46	538
4	56	512
5	69	510
6	77	475
7	89	472
8	98	448
9	107	428
10	115	408
11	123	389
12	131	374
13	136	349
14	146	340
15	152	324
16	162	314
17	173	308
18	189	308
19	196	294
20	205	283
21	215	274
22	225	265
23	232	251
24	241	241
25	250	231
26	262	223
27	273	214
28	281	204
29	290	193
30	325	199
31	341	191
32	352	181
33	361	169
34	369	158
35	378	147
36	385	135
37	392	123
38	400	112
39	408	102
40	416	91
41	428	81
42	438	71
43	459	62
44	474	52
45	482	41
46	490	31
47	501	20
48	508	10
49	514	0
