iter	RMSE
0	30.96666276
1	27.83203738
2	25.68559013
3	23.85240444
4	22.25775076
5	20.99139395
6	19.96754038
7	19.26038853
8	18.56040628
9	17.86745793
10	17.27408779
11	16.7854287
12	16.21861236
13	15.69013489
14	15.26812575
15	14.89408072
16	14.59484225
17	14.31278843
18	13.96096538
19	13.72860678
20	13.42795724
21	13.10579348
22	12.80010601
23	12.43203805
24	12.27567068
25	11.91840092
26	11.72117699
27	11.45521646
28	11.2368093
29	10.93210665
30	10.69365125
31	10.37795764
32	10.21042561
33	10.1075895
34	10.01376815
35	9.921448526
36	9.778692677
37	9.577743703
38	9.565130466
39	9.419376991
40	9.336110684
41	9.090656708
42	8.910274216
43	8.901990146
44	8.650426401
45	8.392464472
46	8.239162265
47	8.002324825
48	7.972302511
49	7.813057211
50	7.582351484
51	7.577558225
52	7.328286581
53	7.192967436
54	7.048218303
55	6.962403896
56	6.838122175
57	6.833373278
58	6.703950653
59	6.69890608
60	6.508047682
61	6.386122953
62	6.355884345
63	6.13890505
64	5.963076424
65	5.901073719
66	5.719162632
67	5.553785884
68	5.468670116
69	5.416841936
70	5.382195743
71	5.301271571
72	5.237047198
73	5.128348103
74	5.018957427
75	4.891474244
76	4.851514335
77	4.831063098
78	4.732217962
79	4.623129817
80	4.595614543
81	4.438666194
82	4.335065841
83	4.231409747
84	4.189214469
85	4.079745088
86	4.003376714
87	3.916636908
88	3.866455967
89	3.758567421
90	3.697708067
91	3.629407434
92	3.51703767
93	3.514289488
94	3.423384875
95	3.36223996
96	3.355699678
97	3.274800526
98	3.272279992
99	3.201890508
100	3.156390087
101	3.106261363
102	3.061426638
103	2.993027603
104	2.894626175
105	2.84382452
106	2.769704555
107	2.707268811
108	2.650025328
109	2.607024466
110	2.564171747
111	2.516616251
112	2.462833858
113	2.45997045
114	2.411114998
115	2.409990351
116	2.339489104
117	2.310389571
118	2.249147893
119	2.200158411
120	2.152990902
121	2.106333879
122	2.10408424
123	2.059979625
124	2.014586093
125	1.97336418
126	1.931543306
127	1.8786431
128	1.841265458
129	1.808006738
130	1.763565949
131	1.751440578
132	1.721578062
133	1.693250765
134	1.655978086
135	1.602561567
136	1.561770916
137	1.542366281
138	1.512946369
139	1.484650253
140	1.452340364
141	1.427616464
142	1.401798731
143	1.381013332
144	1.369327646
145	1.347927976
146	1.316137584
147	1.301933703
148	1.281561226
149	1.275508303
150	1.247076936
151	1.231887516
152	1.216403267
153	1.202609652
154	1.195523513
155	1.190194258
156	1.166296711
157	1.132879673
158	1.112848689
159	1.090739674
160	1.062685033
161	1.037338489
162	1.016522955
163	0.9953475893
164	0.995010663
165	0.9777096419
166	0.9593189169
167	0.9439123524
168	0.9155844949
169	0.899748303
170	0.8798234133
171	0.8592113369
172	0.8573477384
173	0.8431047713
174	0.8373923715
175	0.8195081599
176	0.8052468684
177	0.7913115586
178	0.783571581
179	0.7678797533
180	0.7528080079
181	0.7522859678
182	0.7517546678
183	0.7382249861
184	0.7277480786
185	0.7098653047
186	0.7017079704
187	0.7014870807
188	0.6884736056
189	0.6772019436
190	0.6651502304
191	0.6466045486
192	0.6364168312
193	0.6235255785
194	0.6123680916
195	0.6086400006
196	0.5925062842
197	0.5829507055
198	0.5774205919
199	0.5673156941
99	0.3162359187

199	0.1522057743
8
197	0.05760795215
198	0.05667409955
199	0.05499284428
197	0.01087397804
198	0.01042377415
199	0.01002731064
