iter	Passed	Remaining
0	496	98872
1	1104	109380
2	1529	100405
3	2016	98831
4	2482	96815
5	3091	99956
6	3615	99694
7	4089	98157
8	4666	99030
9	5125	97393
10	5569	95689
11	6059	94935
12	6574	94578
13	7055	93734
14	7419	91502
15	7943	91355
16	8444	90902
17	8977	90769
18	9443	89965
19	9815	88339
20	10358	88292
21	10742	86920
22	11175	86000
23	11507	84390
24	11964	83753
25	12431	83195
26	12905	82688
27	13256	81433
28	13583	80096
29	13918	78870
30	14250	77686
31	14600	76653
32	15014	75981
33	15358	74985
34	15744	74225
35	16135	73504
36	16490	72647
37	16851	71838
38	17221	71094
39	17556	70226
40	17962	69659
41	18375	69126
42	18730	68388
43	19034	67486
44	19475	67082
45	19800	66288
46	20157	65619
47	20479	64853
48	20807	64122
49	21092	63277
50	21476	62744
51	21763	61943
52	21993	61001
53	22342	60407
54	22627	59653
55	22903	58894
56	23197	58196
57	23529	57607
58	23833	56957
59	24095	56223
60	24449	55713
61	24794	55187
62	25086	54553
63	25400	53975
64	25704	53386
65	26001	52790
66	26479	52564
67	26876	52171
68	27262	51759
69	27582	51224
70	27844	50590
71	28170	50080
72	28453	49501
73	28728	48915
74	29020	48367
75	29306	47816
76	29580	47251
77	29903	46771
78	30146	46173
79	30392	45588
80	30653	45033
81	30944	44530
82	31194	43973
83	31428	43401
84	31640	42807
85	31942	42342
86	32177	41793
87	32458	41311
88	32697	40779
89	32988	40319
90	33207	39775
91	33445	39261
92	33679	38749
93	33892	38219
94	34127	37720
95	34333	37194
96	34556	36694
97	34773	36192
98	35039	35747
99	35267	35267
100	35458	34756
101	35664	34265
102	35879	33789
103	36096	33319
104	36295	32839
105	36496	32364
106	36666	31869
107	36865	31403
108	37080	30957
109	37224	30456
110	37442	30021
111	37631	29567
112	37829	29125
113	38027	28687
114	38184	28223
115	38335	27760
116	38491	27305
117	38636	26849
118	38781	26397
119	39060	26040
120	39243	25621
121	39383	25179
122	39529	24745
123	39678	24319
124	39801	23880
125	39930	23451
126	40060	23026
127	40233	22631
128	40401	22236
129	40568	21844
130	40672	21422
131	40804	21020
132	40898	20603
133	40983	20186
134	41071	19775
135	41164	19371
136	41248	18968
137	41329	18568
138	41413	18174
139	41491	17781
140	41570	17394
141	41653	17013
142	41741	16638
143	41825	16265
144	41904	15894
145	41985	15528
146	42063	15165
147	42165	14814
148	42252	14462
149	42326	14108
150	42397	13758
151	42475	13413
152	42549	13070
153	42622	12731
154	42699	12396
155	42773	12064
156	42846	11735
157	42922	11409
158	42995	11086
159	43066	10766
160	43144	10451
161	43219	10137
162	43290	9826
163	43367	9519
164	43442	9215
165	43515	8912
166	43590	8613
167	43662	8316
168	43736	8022
169	43810	7731
170	43886	7442
171	43957	7155
172	44030	6871
173	44106	6590
174	44180	6311
175	44256	6034
176	44340	5761
177	44426	5490
178	44505	5221
179	44592	4954
180	44668	4688
181	44753	4426
182	44829	4164
183	44907	3905
184	44985	3647
185	45069	3392
186	45148	3138
187	45228	2886
188	45311	2637
189	45390	2388
190	45464	2142
191	45543	1897
192	45621	1654
193	45697	1413
194	45776	1173
195	45856	935
196	45934	699
197	46017	464
198	46095	231
199	46171	0
	0
5063	0
