id,consum_activity,service_type,is_allow_report,market_activ_6_mon,market_activ_cur_mon,duration,promo,pop_cat_goods,mean_view_cat_per_visit,unpaid_goods_per_quater,serv_error,webpage_per_visit,last_last_rev,last_rev,current_rev,last_dur_minutes,current_dur_minutes
215348,Снизилась,премиум,да,3.4,5,121,0.0,Товары для детей,6,2,1,5,0.0,0.0,3293.1,13,14
215349,Снизилась,премиум,да,4.4,4,819,0.75,Товары для детей,4,4,2,5,5216.0,4472.0,4971.6,12,10
215350,Снизилась,стандарт,нет,4.9,3,539,0.14,Домашний текстиль,5,2,1,5,5457.5,4826.0,5058.4,8,13
215351,Снизилась,стандарт,да,3.2,5,896,0.99,Товары для детей,5,0,6,4,6158.0,4793.0,6610.4,11,13
215352,Снизилась,стандарт,нет,5.1,3,1064,0.94,Товары для детей,3,2,3,2,5807.5,4594.0,5872.5,8,11
215353,Снизилась,стандарт,да,3.3,4,762,0.26,Домашний текстиль,4,1,1,4,4738.5,5124.0,5388.5,10,10
215354,Снизилась,стандарт,да,5.1,3,431,0.23,Косметика и аксесуары,2,3,7,2,5685.0,4503.0,5869.6,11,12
215355,Снизилась,стандарт,нет,4.7,4,284,0.17,Товары для детей,5,1,6,4,3263.0,4749.0,3772.6,12,10
215356,Снизилась,стандарт,да,4.2,4,192,0.14,Косметика и аксесуары,2,2,1,3,4146.5,4433.0,4566.4,6,7
215357,Снизилась,стандарт,да,3.9,5,154,0.0,Техника для красоты и здоровья,3,3,9,5,0.0,0.0,5986.3,12,6
215358,Снизилась,стандарт,да,4.7,4,450,0.13,Домашний текстиль,4,2,6,4,3488.0,4727.0,4209.5,14,10
215359,Снизилась,стандарт,да,4.6,5,110,0.0,Домашний текстиль,4,2,4,2,0.0,0.0,4735.0,13,11
215360,Снизилась,премиум,да,3.9,3,623,0.35,Кухонная посуда,3,1,4,7,5304.5,5555.0,5834.9,9,6
215361,Снизилась,стандарт,да,5.1,4,199,0.23,Техника для красоты и здоровья,4,5,2,3,6400.0,4597.0,3789.7,11,13
215362,Снизилась,премиум,да,4.2,4,438,0.74,Домашний текстиль,3,4,6,4,4314.0,4765.0,4447.9,13,13
215363,Снизилась,стандарт,нет,4.9,4,923,0.29,Товары для детей,6,0,3,1,6010.0,4633.0,6128.3,8,5
215364,Снизилась,премиум,да,4.3,4,708,0.98,Домашний текстиль,3,3,3,3,5795.5,4942.0,5484.8,11,9
215365,Снизилась,стандарт,да,3.9,4,167,0.95,Техника для красоты и здоровья,6,4,2,5,4577.0,4190.0,4799.3,6,10
215366,Снизилась,стандарт,нет,3.8,3,209,0.22,Товары для детей,5,3,7,7,5035.5,4335.0,5338.4,8,14
215367,Снизилась,премиум,да,4.2,4,581,0.4,Товары для детей,5,1,4,1,5164.5,4668.0,5493.4,8,7
215368,Снизилась,премиум,да,3.8,5,829,0.24,Техника для красоты и здоровья,2,2,6,1,5823.0,4536.0,5591.6,11,9
215369,Снизилась,стандарт,нет,2.7,4,607,0.21,Товары для детей,2,2,3,4,3593.0,4931.0,3842.6,8,9
215370,Снизилась,стандарт,да,3.9,4,572,0.4,Домашний текстиль,2,0,5,5,5235.5,4535.0,4840.3,7,10
215371,Снизилась,стандарт,да,3.8,4,365,0.21,Домашний текстиль,5,0,6,1,6809.0,4742.0,6937.7,10,10
215372,Снизилась,стандарт,нет,4.8,4,566,0.39,Косметика и аксесуары,2,1,4,5,3866.0,4762.0,4092.2,9,9
215373,Снизилась,премиум,нет,3.8,3,811,0.9,Товары для детей,2,5,5,3,4632.0,4293.0,5161.1,10,8
215374,Снизилась,стандарт,нет,2.9,5,268,0.98,Домашний текстиль,6,3,2,2,5762.5,4666.0,5720.9,11,8
215375,Снизилась,премиум,да,3.0,4,558,0.89,Товары для детей,3,3,7,4,5253.5,4715.0,5633.1,8,9
215376,Снизилась,стандарт,да,2.4,3,534,0.98,Домашний текстиль,4,1,5,4,6061.0,4723.0,6209.2,8,9
